year,constituencyNumber,district,constituency,winner,runnerUp,winnerVotes,runnerUpVotes,marginVotes,marginPercentage
2008,80,Chuadanga,CHUADANGA-2,MOHAJOTE,4P,156323,143418,12905,4.21
2008,81,Jhenaidah,JHENAIDAH-1,MOHAJOTE,4P,109050,85899,23151,11.25
2008,82,Jhenaidah,JHENAIDAH-2,MOHAJOTE,4P,161062,146736,14326,4.57
2008,83,Jhenaidah,JHENAIDAH-3,MOHAJOTE,JIB,118357,81739,36618,13.98
2008,84,Jhenaidah,JHENAIDAH-4,MOHAJOTE,4P,105852,101175,4677,2.23
2008,85,Jessore,JESSORE-1,MOHAJOTE,4P,94556,88700,5856,3.19
2008,86,Jessore,JESSORE-2,MOHAJOTE,4P,154875,133244,21631,7.39
2008,87,Jessore,JESSORE-3,MOHAJOTE,4P,166192,122549,43643,14.76
2008,88,Jessore,JESSORE-4,MOHAJOTE,4P,102258,97903,4355,1.96
2008,89,Jessore,JESSORE-5,MOHAJOTE,4P,119914,103739,16175,7.09
2008,90,Jessore,JESSORE-6,MOHAJOTE,4P,166994,122267,44727,15.33
2008,91,Magura,MAGURA-1,MOHAJOTE,4P,135596,109835,25761,10.23
2008,92,Magura,MAGURA-2,MOHAJOTE,4P,115275,109808,5467,2.31
2008,93,Narail,NARAIL-1,Others,4P,67711,50777,16934,10.45
2008,94,Narail,NARAIL-2,MOHAJOTE,4P,125458,69657,55801,26.52
2008,95,Bagerhat,BAGERHAT-1,MOHAJOTE,4P,142979,58533,84446,40.16
2008,96,Bagerhat,BAGERHAT-2,MOHAJOTE,4P,103846,95954,7892,3.84
2008,97,Bagerhat,BAGERHAT-3,MOHAJOTE,4P,97015,66177,30838,18.46
2008,98,Bagerhat,BAGERHAT-4,MOHAJOTE,4P,116454,78327,38127,19.04
2008,99,Khulna,KHULNA-1,MOHAJOTE,4P,120801,68420,52381,26.73
2008,100,Khulna,KHULNA-2,4P,MOHAJOTE,90950,89280,1670,0.91
2008,101,Khulna,KHULNA-3,AL,4P,74678,58177,16501,11.39
2008,102,Khulna,KHULNA-4,MOHAJOTE,4P,109216,97547,11669,5.39
2008,103,Khulna,KHULNA-5,MOHAJOTE,4P,144600,105312,39288,15.36
2008,104,Khulna,KHULNA-6,MOHAJOTE,4P,131121,116161,14960,5.95
2008,105,Shatkhira,SATKHIRA-1,MOHAJOTE,4P,168298,141164,27134,8.71
2008,106,Shatkhira,SATKHIRA-2,MOHAJOTE,4P,133422,114557,18865,7.48
2008,107,Shatkhira,SATKHIRA-3,MOHAJOTE,4P,142709,133802,8907,3.18
2008,108,Shatkhira,SATKHIRA-4,MOHAJOTE,4P,151147,117675,33472,12.34
2008,109,Borguna,BARGUNA-1,MOHAJOTE,Others,131368,105425,25943,9.92
2008,110,Borguna,BARGUNA-2,MOHAJOTE,BNP,90161,66433,23728,13.67
2008,111,Patuakhali,PATUAKHALI-1,MOHAJOTE,4P,120132,73017,47115,22.72
2008,112,Patuakhali,PATUAKHALI-2,MOHAJOTE,4P,98303,58258,40045,22.29
2008,113,Patuakhali,PATUAKHALI-3,MOHAJOTE,4P,120010,61423,58587,29.70
2008,114,Patuakhali,PATUAKHALI-4,MOHAJOTE,4P,90775,60095,30680,18.48
2008,115,Bhola,BHOLA-1,4P,MOHAJOTE,95158,78489,16669,9.31
2008,116,Bhola,BHOLA-2,MOHAJOTE,4P,103282,78730,24552,13.35
2008,117,Bhola,BHOLA-3,MOHAJOTE,4P,96034,83123,12911,7.08
2008,118,Bhola,BHOLA-4,MOHAJOTE,4P,134831,95732,39099,16.83
2008,119,Barisal,BARISAL-1,MOHAJOTE,4P,98245,70969,27276,15.85
2008,120,Barisal,BARISAL-2,MOHAJOTE,4P,100002,87976,12026,6.16
2008,121,Barisal,BARISAL-3,MOHAJOTE,4P,66463,60051,6412,4.22
2008,122,Barisal,BARISAL-4,4P,MOHAJOTE,92856,88483,4373,2.18
2008,123,Barisal,BARISAL-5,4P,MOHAJOTE,105694,99393,6301,2.68
2008,124,Barisal,BARISAL-6,MOHAJOTE,4P,89237,54005,35232,23.20
2008,125,Jhalokathi,JHALOKATI-1,MOHAJOTE,4P,64525,43098,21427,18.71
2008,126,Jhalokathi,JHALOKATI-2,MOHAJOTE,4P,104444,73851,30593,16.52
2008,127,Pirojpur,PIROJPUR-1,AL,4P,101710,94714,6996,3.35
2008,128,Pirojpur,PIROJPUR-2,MOHAJOTE,4P,128544,59428,69116,35.06
2008,129,Pirojpur,PIROJPUR-3,MOHAJOTE,Others,59420,45245,14175,10.39
2008,130,Tangail,TANGAIL-1,MOHAJOTE,4P,171022,88461,82561,31.63
2008,131,Tangail,TANGAIL-2,MOHAJOTE,4P,144710,103509,41201,16.36
2008,132,Tangail,TANGAIL-3,MOHAJOTE,4P,140642,83076,57566,25.24
2008,133,Tangail,TANGAIL-4,MOHAJOTE,4P,138646,86912,51734,22.68
2008,134,Tangail,TANGAIL-5,MOHAJOTE,4P,147152,72805,74347,28.29
2008,135,Tangail,TANGAIL-6,Others,MOHAJOTE,141434,86799,54635,19.93
2008,136,Tangail,TANGAIL-7,MOHAJOTE,4P,130154,88916,41238,18.44
2008,137,Tangail,TANGAIL-8,MOHAJOTE,4P,134626,65521,69105,28.69
2008,138,Jamalpur,JAMALPUR-1,MOHAJOTE,4P,115722,70680,45042,18.95
2008,139,Jamalpur,JAMALPUR-2,MOHAJOTE,4P,108847,62635,46212,25.82
2008,140,Jamalpur,JAMALPUR-3,MOHAJOTE,4P,171926,99113,72813,26.67
2008,141,Jamalpur,JAMALPUR-4,MOHAJOTE,4P,126433,85955,40478,18.95
2008,142,Jamalpur,JAMALPUR-5,MOHAJOTE,4P,198899,88118,110781,38.01
2008,143,Sherpur,SHERPUR-1,MOHAJOTE,4P,136127,110070,26057,10.49
2008,144,Sherpur,SHERPUR-2,MOHAJOTE,4P,156973,75637,81336,34.62
2008,145,Sherpur,SHERPUR-3,MOHAJOTE,4P,106631,65753,40878,18.91
2008,146,Mymensingh,MYMENSINGH-1,MOHAJOTE,4P,142981,91345,51636,21.64
2008,147,Mymensingh,MYMENSINGH-2,MOHAJOTE,4P,172533,94090,78443,28.92
2008,148,Mymensingh,MYMENSINGH-3,MOHAJOTE,4P,177280,76517,100763,38.51
2008,149,Mymensingh,MYMENSINGH-4,AL,4P,172239,85760,86479,32.73
2008,150,Mymensingh,MYMENSINGH-5,MOHAJOTE,4P,121255,81205,40050,19.40
2008,151,Mymensingh,MYMENSINGH-6,MOHAJOTE,4P,125629,81514,44115,20.89
2008,152,Mymensingh,MYMENSINGH-7,MOHAJOTE,4P,135379,58040,77339,38.94
2008,153,Mymensingh,MYMENSINGH-8,MOHAJOTE,4P,121163,57041,64122,35.76
2008,154,Mymensingh,MYMENSINGH-9,MOHAJOTE,4P,127309,56843,70466,37.49
2008,155,Mymensingh,MYMENSINGH-10,MOHAJOTE,4P,142126,71511,70615,32.42
2008,156,Mymensingh,MYMENSINGH-11,MOHAJOTE,4P,137375,63376,73999,36.54
2008,157,Netrokona,NETRAKONA-1,MOHAJOTE,4P,132977,82322,50655,23.02
2008,158,Netrokona,NETRAKONA-2,AL,4P,164076,79572,84504,34.05
2008,159,Netrokona,NETRAKONA-3,MOHAJOTE,4P,132557,86948,45609,20.57
2008,160,Netrokona,NETRAKONA-4,MOHAJOTE,Others,108725,91994,16731,8.19
2008,161,Netrokona,NETRAKONA-5,MOHAJOTE,4P,108860,28675,80185,51.47
2008,162,Kishoreganj,KISHOREGANJ-1,MOHAJOTE,4P,172065,100080,71985,25.91
2008,163,Kishoreganj,KISHOREGANJ-2,MOHAJOTE,4P,172341,99522,72819,26.19
2008,164,Kishoreganj,KISHOREGANJ-3,MOHAJOTE,4P,156116,53211,102905,48.50
2008,165,Kishoreganj,KISHOREGANJ-4,MOHAJOTE,4P,115093,92440,22653,10.84
2008,166,Kishoreganj,KISHOREGANJ-5,MOHAJOTE,4P,123474,65054,58420,30.56
2008,167,Kishoreganj,KISHOREGANJ-6,MOHAJOTE,4P,144587,89837,54750,23.28
2008,168,Manikganj,MANIKGANJ-1,MOHAJOTE,4P,147322,102412,44910,16.58
2008,169,Manikganj,MANIKGANJ-2,MOHAJOTE,4P,148276,126423,21853,7.90
2008,170,Manikganj,MANIKGANJ-3,MOHAJOTE,4P,130111,92216,37895,16.77
2008,171,Munshiganj,MUNSHIGANJ-1,MOHAJOTE,4P,144159,99233,44926,15.55
2008,172,Munshiganj,MUNSHIGANJ-2,MOHAJOTE,4P,104876,87358,17518,8.90
2008,173,Munshiganj,MUNSHIGANJ-3,AL,4P,142484,119940,22544,8.28
2008,174,Dhaka,DHAKA-1,MOHAJOTE,4P,155864,121377,34487,12.11
2008,175,Dhaka,DHAKA-2,MOHAJOTE,4P,180172,124600,55572,17.47
2008,176,Dhaka,DHAKA-3,MOHAJOTE,4P,112623,70680,41943,21.67
2008,177,Dhaka,DHAKA-4,MOHAJOTE,4P,97828,52701,45127,27.69
2008,178,Dhaka,DHAKA-5,AL,4P,153144,99895,53249,18.43
2008,179,Dhaka,DHAKA-6,MOHAJOTE,4P,103737,72456,31281,16.58
2008,180,Dhaka,DHAKA-7,MOHAJOTE,4P,146347,70747,75600,33.15
2008,181,Dhaka,DHAKA-8,MOHAJOTE,4P,97841,63860,33981,20.02
2008,182,Dhaka,DHAKA-9,MOHAJOTE,4P,179756,92227,87529,31.09
2008,183,Dhaka,DHAKA-10,MOHAJOTE,4P,165549,89800,75749,28.35
2008,184,Dhaka,DHAKA-11,MOHAJOTE,4P,130424,73870,56554,26.30
2008,185,Dhaka,DHAKA-12,MOHAJOTE,4P,118136,69262,48874,24.91
2008,186,Dhaka,DHAKA-13,MOHAJOTE,4P,125120,78504,46616,21.35
2008,187,Dhaka,DHAKA-14,MOHAJOTE,4P,148440,84849,63591,25.74
2008,188,Dhaka,DHAKA-15,MOHAJOTE,4P,120780,76472,44308,20.82
2008,189,Dhaka,DHAKA-16,MOHAJOTE,4P,131816,85002,46814,20.50
2008,190,Dhaka,DHAKA-17,MOHAJOTE,4P,123936,56267,67669,35.34
2008,191,Dhaka,DHAKA-18,MOHAJOTE,4P,213332,116786,96546,28.31
2008,192,Dhaka,DHAKA-19,MOHAJOTE,4P,282492,170719,111773,24.31
2008,193,Dhaka,DHAKA-20,MOHAJOTE,4P,133437,93177,40260,17.65
2008,194,Gazipur,GAZIPUR-1,MOHAJOTE,4P,261304,173835,87469,19.87
2008,195,Gazipur,GAZIPUR-2,MOHAJOTE,4P,264710,139278,125432,30.26
2008,196,Gazipur,GAZIPUR-3,MOHAJOTE,4P,236944,108915,128029,36.48
2008,197,Gazipur,GAZIPUR-4,MOHAJOTE,4P,110682,64466,46216,25.97
2008,198,Gazipur,GAZIPUR-5,MOHAJOTE,4P,125903,74899,51004,24.80
2008,199,Narsingdi,NARSINGDI-1,MOHAJOTE,4P,122105,105454,16651,7.05
2008,200,Narsingdi,NARSINGDI-2,MOHAJOTE,4P,101687,71859,29828,16.24
2008,201,Narsingdi,NARSINGDI-3,MOHAJOTE,Others,93746,70516,23230,12.89
2008,202,Narsingdi,NARSINGDI-4,MOHAJOTE,4P,145989,78789,67200,28.50
2008,203,Narsingdi,NARSINGDI-5,MOHAJOTE,4P,142416,77549,64867,29.04
2008,204,Faridpur,NARAYANGANJ-1,MOHAJOTE,4P,143279,95673,47606,19.36
2008,205,Faridpur,NARAYANGANJ-2,MOHAJOTE,4P,117435,78675,38760,19.51
2008,206,Faridpur,NARAYANGANJ-3,MOHAJOTE,4P,192659,110062,82597,26.09
2008,207,Faridpur,NARAYANGANJ-4,MOHAJOTE,4P,141075,138686,2389,0.82
2008,208,Faridpur,NARAYANGANJ-5,MOHAJOTE,4P,174651,127149,47502,15.26
2008,209,Rajbari,RAJBARI-1,MOHAJOTE,4P,141561,83933,57628,24.31
2008,210,Rajbari,RAJBARI-2,MOHAJOTE,4P,191961,132817,59144,18.02
2008,211,Faridpur,FARIDPUR-1,MOHAJOTE,4P,175387,72285,103102,36.29
2008,212,Faridpur,FARIDPUR-2,MOHAJOTE,4P,116498,75726,40772,21.10
2008,213,Faridpur,FARIDPUR-3,MOHAJOTE,Others,122047,78308,43739,18.85
2008,214,Faridpur,FARIDPUR-4,MOHAJOTE,Others,157491,76553,80938,33.94
2008,215,Gopalganj,GOPALGANJ-1,MOHAJOTE,4P,183234,9986,173248,85.35
2008,216,Gopalganj,GOPALGANJ-2,MOHAJOTE,4P,186574,7643,178931,90.71
2008,217,Gopalganj,GOPALGANJ-3,MOHAJOTE,4P,158958,4451,154507,94.02
2008,218,Madaripur,MADARIPUR-1,MOHAJOTE,Others,119767,24829,94938,60.74
2008,219,Madaripur,MADARIPUR-2,MOHAJOTE,4P,179883,28594,151289,69.67
2008,220,Madaripur,MADARIPUR-3,MOHAJOTE,4P,129638,48319,81319,43.13
2008,221,Shariatpur,SHARIATPUR-1,MOHAJOTE,Others,117386,59320,58066,31.58
2008,222,Shariatpur,SHARIATPUR-2,MOHAJOTE,4P,114808,80096,34712,17.72
2008,223,Shariatpur,SHARIATPUR-3,MOHAJOTE,4P,102925,52672,50253,31.66
2008,224,Sunamganj,SUNAMGANJ-1,MOHAJOTE,4P,155252,94458,60794,22.75
2008,225,Sunamganj,SUNAMGANJ-2,MOHAJOTE,4P,95593,77889,17704,10.16
2008,226,Sunamganj,SUNAMGANJ-3,MOHAJOTE,4P,134559,56765,77794,40.21
2008,227,Sunamganj,SUNAMGANJ-4,MOHAJOTE,4P,123883,58964,64919,32.76
2008,228,Sunamganj,SUNAMGANJ-5,MOHAJOTE,4P,165697,85197,80500,31.62
2008,229,Sylhet,SYLHET-1,MOHAJOTE,4P,178636,140367,38269,11.77
2008,230,Sylhet,SYLHET-2,MOHAJOTE,4P,109356,106040,3316,1.52
2008,231,Sylhet,SYLHET-3,AL,4P,97593,54955,42638,23.25
2008,232,Sylhet,SYLHET-4,MOHAJOTE,4P,144198,98545,45653,18.65
2008,233,Sylhet,SYLHET-5,MOHAJOTE,4P,109690,78061,31629,15.72
2008,234,Sylhet,SYLHET-6,MOHAJOTE,Others,138353,52611,85742,35.19
2008,235,Maulvibazar,MAULVIBAZAR-1,MOHAJOTE,4P,106570,69609,36961,20.84
2008,236,Maulvibazar,MAULVIBAZAR-2,JP,Others,130941,66385,64556,30.29
2008,237,Maulvibazar,MAULVIBAZAR-3,MOHAJOTE,4P,144921,112895,32026,12.19
2008,238,Maulvibazar,MAULVIBAZAR-4,MOHAJOTE,4P,131740,79599,52141,24.19
2008,239,Habiganj,HABIGANJ-1,MOHAJOTE,4P,152080,79488,72592,30.45
2008,240,Habiganj,HABIGANJ-2,AL,4P,122025,67059,54966,27.00
2008,241,Habiganj,HABIGANJ-3,MOHAJOTE,4P,147827,57260,90567,42.96
2008,242,Habiganj,HABIGANJ-4,MOHAJOTE,4P,155896,124788,31108,10.92
2008,243,Brahmanbaria,BRAHMANBARIA-1,MOHAJOTE,4P,99886,85388,14498,7.70
2008,244,Brahmanbaria,BRAHMANBARIA-2,MOHAJOTE,4P,143672,94273,49399,20.45
2008,245,Brahmanbaria,BRAHMANBARIA-3,MOHAJOTE,4P,160052,86587,73465,29.23
2008,246,Brahmanbaria,BRAHMANBARIA-4,MOHAJOTE,4P,118692,82567,36125,17.71
2008,247,Brahmanbaria,BRAHMANBARIA-5,MOHAJOTE,4P,113173,73922,39251,20.08
2008,248,Brahmanbaria,BRAHMANBARIA-6,MOHAJOTE,4P,94016,58794,35222,22.81
2008,249,Comilla,COMILLA-1,MOHAJOTE,4P,114818,96378,18440,8.53
2008,250,Comilla,COMILLA-2,4P,MOHAJOTE,94105,76666,17439,9.93
2008,251,Comilla,COMILLA-3,4P,MOHAJOTE,124386,109823,14563,6.11
2008,252,Comilla,COMILLA-4,MOHAJOTE,4P,115056,81365,33691,16.94
2008,253,Comilla,COMILLA-5,MOHAJOTE,4P,143208,77260,65948,29.25
2008,254,Comilla,COMILLA-6,MOHAJOTE,4P,126136,102450,23686,10.19
2008,255,Comilla,COMILLA-7,MOHAJOTE,4P,79440,73933,5507,3.25
2008,256,Comilla,COMILLA-8,MOHAJOTE,4P,141428,121887,19541,7.28
2008,257,Comilla,COMILLA-9,MOHAJOTE,4P,117748,117290,458,0.19
2008,258,Comilla,COMILLA-10,MOHAJOTE,4P,138089,89821,48268,20.75
2008,259,Comilla,COMILLA-11,AL,4P,101201,77924,23277,11.96
2008,260,Chadpur,CHANDPUR-1,MOHAJOTE,4P,107461,80872,26589,13.95
2008,261,Chadpur,CHANDPUR-2,MOHAJOTE,4P,123785,87061,36724,16.43
2008,262,Chadpur,CHANDPUR-3,MOHAJOTE,4P,134836,116068,18768,7.26
2008,263,Chadpur,CHANDPUR-4,4P,MOHAJOTE,88905,81838,7067,4.04
2008,264,Chadpur,CHANDPUR-5,MOHAJOTE,4P,143497,110480,33017,12.88
2008,265,Feni,FENI-1,4P,MOHAJOTE,114482,58551,55931,31.78
2008,266,Feni,FENI-2,4P,MOHAJOTE,120297,86713,33584,16.00
2008,267,Feni,FENI-3,4P,MOHAJOTE,134939,93630,41309,17.44
2008,268,Noakhali,NOAKHALI-1,4P,AL,105380,80658,24722,12.82
2008,269,Noakhali,NOAKHALI-2,4P,MOHAJOTE,87463,67497,19966,12.70
2008,270,Noakhali,NOAKHALI-3,Others,4P,123571,98537,25034,11.03
2008,271,Noakhali,NOAKHALI-4,MOHAJOTE,4P,131706,118956,12750,4.44
2008,272,Noakhali,NOAKHALI-5,MOHAJOTE,4P,112575,111204,1371,0.61
2008,273,Noakhali,NOAKHALI-6,Others,4P,141755,680,141075,98.97
2008,274,Laxmipur,LAKSHMIPUR-1,4P,MOHAJOTE,74276,54946,19330,14.49
2008,275,Laxmipur,LAKSHMIPUR-2,4P,MOHAJOTE,129995,51732,78263,35.03
2008,276,Laxmipur,LAKSHMIPUR-3,4P,MOHAJOTE,109631,82050,27581,14.20
2008,277,Laxmipur,LAKSHMIPUR-4,4P,MOHAJOTE,68549,58427,10122,5.63
2008,278,Chittagong,CHITTAGONG-1,MOHAJOTE,4P,105339,94665,10674,5.30
2008,279,Chittagong,CHITTAGONG-2,4P,MOHAJOTE,129333,92266,37067,16.54
2008,280,Chittagong,CHITTAGONG-3,MOHAJOTE,4P,136298,112930,23368,9.27
2008,281,Chittagong,CHITTAGONG-4,MOHAJOTE,4P,132168,106975,25193,10.12
2008,282,Chittagong,CHITTAGONG-5,MOHAJOTE,4P,86606,78711,7895,4.73
2008,283,Chittagong,CHITTAGONG-6,MOHAJOTE,4P,101340,72073,29267,16.82
2008,284,Chittagong,CHITTAGONG-7,MOHAJOTE,4P,150648,133466,17182,5.85
2008,285,Chittagong,CHITTAGONG-8,MOHAJOTE,4P,140411,109484,30927,12.12
2008,286,Chittagong,CHITTAGONG-9,AL,4P,137106,127815,9291,3.25
2008,287,Chittagong,CHITTAGONG-10,MOHAJOTE,4P,164591,141946,22645,7.04
2008,288,Chittagong,CHITTAGONG-11,MOHAJOTE,4P,103869,75156,28713,15.25
2008,289,Chittagong,CHITTAGONG-12,MOHAJOTE,4P,110951,86751,24200,11.86
2008,290,Chittagong,CHITTAGONG-13,Others,MOHAJOTE,84048,61646,22402,12.50
2008,291,Chittagong,CHITTAGONG-14,4P,Others,120339,65622,54717,23.18
2008,292,Chittagong,CHITTAGONG-15,4P,MOHAJOTE,99896,91870,8026,4.12
2008,293,Chittagong,CHITTAGONG-16,4P,Others,62397,34109,28288,24.20
2008,294,Cox's Bazar,COX'S BAZAR-1,4P,MOHAJOTE,156512,121111,35401,12.69
2008,295,Cox's Bazar,COX'S BAZAR-2,4P,MOHAJOTE,104271,86944,17327,8.95
2008,296,Cox's Bazar,COX'S BAZAR-3,4P,MOHAJOTE,126478,86536,39942,14.38
2008,297,Cox's Bazar,COX'S BAZAR-4,MOHAJOTE,4P,103626,79310,24316,13.21
2008,298,Khagrachhari,PARBATTYA KHAGRACHHARI-1,MOHAJOTE,Others,122803,93358,29445,10.52
2008,299,Rangmati,PARBATTYA RANGAMATI-1,MOHAJOTE,4P,115012,56429,58583,22.67
2008,300,Bandarban,PARBATTYA BANDARBAN-1,MOHAJOTE,4P,78947,59174,19773,12.72
,,,,,,,,,
,,,,,,,,,
