year,constituencyNumber,district,constituency,winner,runnerUp,winnerVotes,runnerUpVotes,marginVotes,marginPercentage
2001,137,Tangail,Tangail5,4P,AL,96544,83458,13086,4.37
2001,138,Tangail,Tangail6,4P,AL,55173,53295,1878,1.45
2001,139,Tangail,Tangail7,AL,4P,89931,87857,2074,1.10
2001,140,Tangail,Tangail8,Others,AL,81786,54505,27281,14.45
2001,141,Jamalpur,Jamalpur1,4P,AL,93616,73959,19657,9.72
2001,142,Jamalpur,Jamalpur2,4P,AL,80314,49865,30449,23.21
2001,143,Jamalpur,Jamalpur3,AL,Others,119611,112598,7013,2.87
2001,144,Jamalpur,Jamalpur4,4P,AL,89414,70062,19352,11.98
2001,145,Jamalpur,Jamalpur5,AL,4P,150240,114232,36008,13.34
2001,146,Sherpur,Sherpur1,AL,4P,86101,65490,20611,10.42
2001,147,Sherpur,Sherpur2,4P,AL,102545,99661,2884,1.40
2001,148,Sherpur,Sherpur3,4P,AL,86785,58393,28392,15.95
2001,149,Mymensingh,Mymensingh1,AL,4P,47873,41280,6593,5.26
2001,150,Mymensingh,Mymensingh2,4P,AL,114048,89631,24417,10.81
2001,151,Mymensingh,Mymensingh3,AL,4P,50632,44603,6029,4.69
2001,152,Mymensingh,Mymensingh4,4P,AL,102016,83380,18636,7.00
2001,153,Mymensingh,Mymensingh5,4P,AL,90501,74033,16468,9.66
2001,154,Mymensingh,Mymensingh6,Others,AL,59615,52621,6994,4.10
2001,155,Mymensingh,Mymensingh7,AL,4P,82159,56592,25567,15.98
2001,156,Mymensingh,Mymensingh8,4P,AL,59159,48885,10274,7.43
2001,157,Mymensingh,Mymensingh9,4P,AL,65992,58157,7835,5.21
2001,158,Mymensingh,Mymensingh10,AL,4P,109832,86862,22970,11.58
2001,159,Mymensingh,Mymensingh11,AL,4P,78651,53771,24880,16.80
2001,160,Mymensingh,Mymensingh + Nrtrokona,4P,AL,76971,59735,17236,9.38
2001,161,Netrokona,Netrokona1,4P,AL,103059,90031,13028,6.61
2001,162,Netrokona,Netrokona2,AL,4P,108514,101320,7194,3.19
2001,163,Netrokona,Netrokona3,4P,AL,103123,93966,9157,4.52
2001,164,Netrokona,Netrokona4,4P,AL,88651,84800,3851,2.19
2001,165,Kishoreganj,Kishoreganj1,AL,4P,86623,86509,114,0.06
2001,166,Kishoreganj,Kishoreganj2,AL,4P,50206,48411,1795,1.39
2001,167,Kishoreganj,Kishoreganj3,AL,4P,82062,72483,9579,6.05
2001,168,Kishoreganj,Kishoreganj4,4P,AL,65447,64232,1215,0.63
2001,169,Kishoreganj,Kishoreganj5,AL,Others,93915,63656,30259,16.57
2001,170,Kishoreganj,Kishoreganj6,4P,AL,83698,75818,7880,4.87
2001,171,Kishoreganj,Kishoreganj7,AL,4P,104196,89639,14557,7.40
2001,172,Manikganj,Manikganj1,4P,AL,85447,59541,25906,17.14
2001,173,Manikganj,Manikganj2,4P,AL,90160,49202,40958,26.20
2001,174,Manikganj,Manikganj3,4P,AL,105474,71139,34335,18.37
2001,175,Manikganj,Manikganj4,4P,AL,98346,60445,37901,23.46
2001,176,Munshiganj,Munshiganj1,4P,AL,94412,64994,29418,18.11
2001,177,Munshiganj,Munshiganj2,4P,AL,83623,59534,24089,16.67
2001,178,Munshiganj,Munshiganj3,4P,AL,86077,51682,34395,24.91
2001,179,Munshiganj,Munshiganj4,4P,AL,93795,80447,13348,7.46
2001,180,Dhaka,Dhaka1,4P,AL,48347,45576,2771,2.95
2001,181,Dhaka,Dhaka2,4P,AL,70958,68414,2544,1.81
