year,constituencyNumber,district,constituency,latitude,longitude
2001,212,Faridpur,Faridpur4,23.562728,89.9998
2001,214,Gopalganj,Gopalganj1,23.246393,89.869337
2001,215,Gopalganj,Gopalganj2,23.093628,89.817152
2001,216,Gopalganj,Gopalganj3,23.016548,90.005293
2001,217,Madaripur,Madaripur1,23.330907,90.170088
2001,218,Madaripur,Madaripur2,23.209796,90.124769
2001,219,Madaripur,Madaripur3,23.104997,90.266218
2001,221,Shariatpur,Shariatpur2,23.228727,90.506544
2001,222,Shariatpur,Shariatpur3,23.134046,90.443373
2001,224,Sunamganj,Sunamgonj2,24.779254,91.320705
2001,225,Sunamganj,Sunamgonj3,24.791722,91.554165
2001,237,Maulvibazar,Moulvibazar4,24.30455,91.754665
2001,238,Habiganj,Habiganj1,24.492148,91.534939
2001,239,Habiganj,Habiganj2,24.532132,91.350918
2001,240,Habiganj,Habiganj3,24.369615,91.38937
2001,241,Habiganj,Habiganj4,24.21691,91.466274
2001,282,Chittagong,Chittagong4,22.692586,91.782131
2001,284,Chittagong,Chittagong6,22.60894,91.916714
2001,300,Bandarban,Bandarban,21.884438,92.386379
2001,2,Panchaghar,Panchaghar2,26.332807,88.573737
2001,4,Thakurgaon,Thakurgaon2,26.106121,88.31749
2001,5,Thakurgaon,Thakurgaon3,25.938287,88.427353
2001,6,Dinajpur,Dinajpur1,25.908645,88.658066
2001,7,Dinajpur,Dinajpur2,25.76032,88.482284
2001,8,Dinajpur,Dinajpur3,25.641526,88.625107
2001,9,Dinajpur,Dinajpur4,25.804837,88.796196
2001,10,Dinajpur,Dinajpur5,25.631622,88.944511
2001,11,Dinajpur,Dinajpur6,25.463115,89.032402
2001,12,Nilphamari,Nilphamari1,26.189948,88.862114
2001,13,Nilphamari,Nilphamari2,25.977799,88.846035
2001,14,Nilphamari,Nilphamari3,26.091322,88.999844
2001,15,Nilphamari,Nilphamari4,26.000019,88.928432
2001,16,Lalmonirhat,Lalmonirhat1,26.332807,89.043789
2001,17,Lalmonirhat,Lalmonirhat2,26.004956,89.290981
2001,18,Lalmonirhat,Lalmonirhat3,25.886408,89.464016
2001,21,Rangpur,Rangpur3,25.726921,89.251356
2001,22,Rangpur,Rangpur4,25.707125,89.44911
2001,23,Rangpur,Rangpur5,25.589517,89.284315
2001,24,Rangpur,Rangpur6,25.398623,89.292555
2001,26,Kurigram,Kurigram2,25.945697,89.650784
2001,29,Gaibandha,Gaibandha1,25.492868,89.554653
2001,30,Gaibandha,Gaibandha2,25.391179,89.582119
2001,33,Gaibandha,Gaibandha5,25.242212,89.579372
2001,44,Nawabganj,Nawabganj2,24.825379,88.329878
2001,46,Naogaon,Naogaon1,24.993526,88.541164
2001,47,Naogaon,Naogaon2,25.137826,88.736172
2001,48,Naogaon,Naogaon3,24.9761,88.835049
2001,49,Naogaon,Naogaon4,24.769278,88.694973
2001,51,Naogaon,Naogaon6,24.674474,89.00259
2001,52,Rajshahi,Rajshahi1,24.533382,88.399916
2001,53,Rajshahi,Rajshahi2,24.416517,88.606403
2001,54,Rajshahi,Rajshahi3,24.385251,88.60091
2001,55,Rajshahi,Rajshahi4,24.542126,88.648481
2001,56,Rajshahi,Rajshahi5,24.229433,88.811903
2001,57,Natore,Natore1,24.200627,88.935499
2001,58,Natore,Natore2,24.423394,88.965712
2001,59,Natore,Natore3,24.517139,89.181318
2001,60,Natore,Natore4,24.280768,89.144239
2001,62,Sirajgonj,Sirajgonj2,24.457151,89.692183
2001,63,Sirajgonj,Sirajgonj3,24.510892,89.44087
2001,64,Sirajgonj,Sirajgonj4,24.372117,89.484816
2001,65,Sirajgonj,Sirajgonj5,24.457151,89.704542
2001,66,Sirajgonj,Sirajgonj6,24.290782,89.683943
2001,67,Sirajgonj,Sirajgonj7,24.1455,89.622145
2001,68,Pabna,Pabna1,24.072798,89.594679
2001,69,Pabna,Pabna2,23.914715,89.516401
2001,70,Pabna,Pabna3,24.293285,89.351606
2001,72,Pabna,Pabna5,24.003817,89.23625
2001,73,Meherpur,Meherpur1,23.769007,88.635535
2001,74,Meherpur,Meherpur2,23.85821,88.770118
2001,75,Kushtia,Kushtia1,24.018871,88.854475
2001,76,Kushtia,Kushtia2,23.941076,89.012403
2001,77,Kushtia,Kushtia3,23.815501,89.104414
2001,78,Kushtia,Kushtia4,23.85821,89.23213
2001,79,Chuadanga,Chuadanga1,23.682259,88.8943
2001,80,Chuadanga,Chuadanga2,23.53755,88.825636
2001,82,Jhenaidah,Jhenaidah2,23.610554,89.081068
2001,83,Jhenaidah,Jhenaidah3,23.358646,88.903913
2001,84,Jhenaidah,Jhenaidah4,23.411587,89.151106
2001,85,Jessore,Jessore1,23.04688,88.935499
2001,86,Jessore,Jessore2,23.203485,89.059095
2001,87,Jessore,Jessore3,23.139097,89.175825
2001,88,Jessore,Jessore4,23.207272,89.304914
2001,89,Jessore,Jessore5,23.015284,89.237623
2001,92,Magura,Magura2,23.36495,89.428511
2001,96,Bagerhat,Bagerhat2,22.654572,89.76614
2001,98,Bagerhat,Bagerhat4,22.177232,89.837551
2001,100,Khulna,Khulna2,22.815428,89.547987
2001,101,Khulna,Khulna3,22.93816,89.451857
2001,102,Khulna,Khulna4,22.905273,89.634304
2001,103,Khulna,Khulna5,22.852133,89.385939
2001,104,Khulna,Khulna6,22.395793,89.345512
2001,105,Shatkhira,Shatkhira1,22.745789,89.21917
2001,106,Shatkhira,Shatkhira2,22.725524,89.070854
2001,107,Shatkhira,Shatkhira3,22.532854,89.136772
2001,108,Shatkhira,Shatkhira4,22.197577,89.153252
2001,109,Shatkhira,Shatkhira5,21.861499,89.224663
2001,111,Borguna,Borguna2,22.104726,89.959974
2001,113,Patuakhali,Patuakhali1,22.356426,90.314283
2001,114,Patuakhali,Patuakhali2,22.441495,90.526943
2001,117,Bhola,Bhola1,22.684984,90.645046
2001,118,Bhola,Bhola2,22.520169,90.724697
2001,119,Bhola,Bhola3,22.355156,90.763149
2001,120,Bhola,Bhola4,22.179775,90.73019
2001,121,Barisal,Barisal1,22.821757,90.524197
2001,122,Barisal,Barisal2,22.892623,90.111036
2001,123,Barisal,Barisal3,22.767318,90.326643
2001,124,Barisal,Barisal4,22.672313,90.384321
2001,125,Barisal,Barisal5,22.551879,90.376081
2001,126,Barisal,Barisal6,22.672313,90.198927
2001,127,Jhalokathi,Jhalokathi1,22.551879,90.141249
2001,128,Jhalokathi,Jhalokathi2,22.657106,90.198927
2001,129,Pirojpur,Pirojpur1,22.702722,89.97488
2001,131,Pirojpur,Pirojpur3,22.350076,89.961147
2001,132,Barisal,Barisal with Pirojpur,22.333333,90.333333
2001,134,Tangail,Tangail2,24.56461,89.889736
2001,135,Tangail,Tangail3,24.492148,90.073757
2001,136,Tangail,Tangail4,24.369615,90.027065
2001,137,Tangail,Tangail5,24.239451,89.87875
2001,138,Tangail,Tangail6,24.069036,89.906216
2001,141,Jamalpur,Jamalpur1,25.227305,89.818325
2001,142,Jamalpur,Jamalpur2,25.110471,89.733181
2001,144,Jamalpur,Jamalpur4,24.761797,89.845791
2001,147,Sherpur,Sherpur2,25.08933,90.181074
2001,148,Sherpur,Sherpur3,25.145285,90.021772
2001,150,Mymensingh,Mymensingh2,24.948709,90.386867
2001,152,Mymensingh,Mymensingh4,24.749326,90.392361
2001,153,Mymensingh,Mymensingh5,24.744337,90.219326
2001,156,Mymensingh,Mymensingh8,24.666986,90.609341
2001,157,Mymensingh,Mymensingh9,24.532132,90.645046
2001,160,Mymensingh,Mymensingh + Nrtrokona,25.115445,90.518703
2001,161,Netrokona,Netrokona1,25.105497,90.792189
2001,163,Netrokona,Netrokona3,24.679466,90.829267
2001,164,Netrokona,Netrokona4,24.730617,91.055861
2001,168,Kishoreganj,Kishoreganj4,24.517139,90.908918
2001,170,Kishoreganj,Kishoreganj6,24.323322,90.939131
2001,172,Manikganj,Manikganj1,23.927268,89.824018
2001,173,Manikganj,Manikganj2,23.82932,89.830885
2001,174,Manikganj,Manikganj3,23.926013,90.002546
2001,175,Manikganj,Manikganj4,23.790371,90.137129
2001,176,Munshiganj,Munshiganj1,23.586643,90.288191
2001,177,Munshiganj,Munshiganj2,23.499774,90.32527
2001,178,Munshiganj,Munshiganj3,23.489698,90.491438
2001,179,Munshiganj,Munshiganj4,23.548881,90.623274
2001,180,Dhaka,Dhaka1,23.654588,90.157728
2001,181,Dhaka,Dhaka2,23.689805,90.238752
2001,182,Dhaka,Dhaka3,23.731298,90.296431
2001,183,Dhaka,Dhaka4,23.69232,90.378828
2001,184,Dhaka,Dhaka5,23.756439,90.446119
2001,185,Dhaka,Dhaka6,23.735069,90.378828
2001,186,Dhaka,Dhaka7,23.771521,90.378828
2001,187,Dhaka,Dhaka8,23.838113,90.378828
2001,188,Dhaka,Dhaka9,23.854323,90.388888
2001,189,Dhaka,Dhaka10,23.870769,90.378828
2001,190,Dhaka,Dhaka11,23.84565,90.406294
2001,191,Dhaka,Dhaka12,23.883326,90.273085
2001,192,Dhaka,Dhaka13,23.953626,90.156355
2001,195,Gazipur,Gazipur3,24.122942,90.435133
2001,197,Narsingdi,Narshingdi1,23.867001,90.713911
2001,198,Narsingdi,Narshingdi2,23.918481,90.660353
2001,199,Narsingdi,Narshingdi3,24.003817,90.766096
2001,200,Narsingdi,Narshingdi4,24.154272,90.75511
2001,202,Narayanganj,Narayanganj1,23.84565,90.543623
2001,203,Narayanganj,Narayanganj2,23.772778,90.656233
2001,204,Narayanganj,Narayanganj3,23.725012,90.616407
2001,205,Narayanganj,Narayanganj4,23.619362,90.480452
2001,206,Narayanganj,Narayanganj5,23.608037,90.524397
2001,207,Rajbari,Rajbari1,23.711181,89.664717
2001,208,Rajbari,Rajbari2,23.748897,89.471083
2001,210,Faridpur,Faridpur2,23.410327,89.852858
2001,211,Faridpur,Faridpur3,23.596711,89.859724
2001,223,Sunamganj,Sunamganj1,25.040816,91.120205
2001,226,Sunamganj,Sunamgonj4,25.065697,91.394863
2001,227,Sunamganj,Sunamganj5,25.010951,91.600857
2001,228,Sylhet,Sylhet1,24.893911,91.845303
2001,229,Sylhet,Sylhet2,24.721885,91.850796
2001,230,Sylhet,Sylhet3,24.766785,91.930447
2001,231,Sylhet,Sylhet4,25.068185,91.902981
2001,232,Sylhet,Sylhet5,25.005973,92.284756
2001,234,Maulvibazar,Moulvibazar1,24.654506,92.147427
2001,236,Maulvibazar,Moulvibazar3,24.47965,91.798611
2001,243,Brahmanbaria,Brahmminbaria2,24.132968,91.083326
2001,244,Brahmanbaria,Brahmminbaria3,24.000054,91.173964
2001,245,Brahmanbaria,Brahmminbaria4,23.836857,91.165724
2001,246,Brahmanbaria,Brahmminbaria5,23.872025,91.014662
2001,247,Brahmanbaria,Brahmminbaria6,23.816757,90.87184
2001,248,Comilla,Comilla1,23.644524,90.809841
2001,249,Comilla,Comilla2,23.536291,90.796108
2001,250,Comilla,Comilla3,23.709924,90.977383
2001,251,Comilla,Comilla4,23.616845,90.996609
2001,252,Comilla,Comilla5,23.609295,91.120205
2001,253,Comilla,Comilla6,23.555544,91.140101
2001,254,Comilla,Comilla7,23.455688,91.186123
2001,255,Comilla,Comilla8,23.443089,90.94717
2001,256,Comilla,Comilla9,23.359907,91.035061
2001,257,Comilla,Comilla10,23.178239,91.087246
2001,258,Comilla,Comilla11,23.264057,91.17239
2001,259,Comilla,Comilla12,23.163089,91.26852
2001,260,Chandpur,Chandpur1,23.38638,90.675459
2001,261,Chandpur,Chandpur2,23.222417,90.665846
2001,262,Chandpur,Chandpur3,23.128994,90.745497
2001,263,Chandpur,Chandpur4,23.233775,90.950117
2001,264,Chandpur,Chandpur5,23.24387,90.84712
2001,265,Chandpur,Chandpur6,23.395203,90.838881
2001,266,Feni,Feni1,23.117628,91.454115
2001,267,Feni,Feni2,23.0077,91.448622
2001,268,Feni,Feni3,22.911598,91.39781
2001,269,Noakhali,Noakhali1,23.031715,91.015835
2001,270,Noakhali,Noakhali2,23.00138,91.175137
2001,271,Noakhali,Noakhali3,22.943218,91.098232
2001,272,Noakhali,Noakhali4,22.783779,91.05978
2001,273,Noakhali,Noakhali5,22.804035,91.197109
2001,275,Laxmipur,Laxmipur1,23.098681,90.870466
2001,276,Laxmipur,Laxmipur2,22.976095,90.74687
2001,277,Laxmipur,Laxmipur3,22.941954,90.910292
2001,278,Laxmipur,Laxmipur4,22.772383,90.869093
2001,279,Chittagong,Chittagong1,22.798971,91.556911
2001,280,Chittagong,Chittagong2,22.614011,91.631069
2001,281,Chittagong,Chittagong3,22.47703,92.054043
2001,283,Chittagong,Chittagong5,22.522706,91.809597
2001,285,Chittagong,Chittagong7,22.47703,92.054043
2001,286,Chittagong,Chittagong8,22.261139,91.790371
2001,287,Chittagong,Chittagong9,22.334833,91.787624
2001,288,Chittagong,Chittagong10,22.383095,91.850796
2001,289,Chittagong,Chittagong11,22.248429,92.012844
2001,290,Chittagong,Chittagong12,22.215377,91.883755
2001,291,Chittagong,Chittagong13,22.159427,92.117214
2001,293,Chittagong,Chittagong15,21.999082,91.957912
2001,294,Cox's Bazar,Cox's Bazar1,21.790107,92.01519
2001,295,Cox's Bazar,Cox's Bazar2,21.601258,91.927299
2001,296,Cox's Bazar,Cox's Bazar3,21.488852,92.125053
2001,297,Cox's Bazar,Cox's Bazar4,21.079375,92.179985
2001,298,Khagrachari,Khagrachari,23.120154,91.957912
2001,299,Rangamati,Rangamati,22.766051,92.273369
,,,,,
