year,constituencyNumber,district,constituency,latitude,longitude,winner,second,winnerVotes,secondVotes,margin,difference,magnitude
2008,185,Dhaka,DHAKA-12,23.735069,90.378828,MOHAJOTE,4P,118136,69262,48874,24.91,2
2008,186,Dhaka,DHAKA-13,23.771521,90.378828,MOHAJOTE,4P,125120,78504,46616,21.35,2
2008,187,Dhaka,DHAKA-14,23.838113,90.378828,MOHAJOTE,4P,148440,84849,63591,25.74,2
2008,188,Dhaka,DHAKA-15,23.854323,90.388888,MOHAJOTE,4P,120780,76472,44308,20.82,2
2008,189,Dhaka,DHAKA-16,23.870769,90.378828,MOHAJOTE,4P,131816,85002,46814,20.5,2
2008,190,Dhaka,DHAKA-17,23.84565,90.406294,MOHAJOTE,4P,123936,56267,67669,35.34,3
2008,191,Dhaka,DHAKA-18,23.880815,90.447493,MOHAJOTE,4P,213332,116786,96546,28.31,2
2008,192,Dhaka,DHAKA-19,23.883326,90.273085,MOHAJOTE,4P,282492,170719,111773,24.31,2
2008,193,Dhaka,DHAKA-20,23.953626,90.156355,MOHAJOTE,4P,133437,93177,40260,17.65,1
2008,6,Dinajpur,DINAJPUR-1,25.908645,88.658066,MOHAJOTE,4P,143097,107168,35929,14.19,1
2008,7,Dinajpur,DINAJPUR-2,25.76032,88.482284,MOHAJOTE,4P,138152,89419,48733,21.24,2
2008,8,Dinajpur,DINAJPUR-3,25.641526,88.625107,MOHAJOTE,4P,140934,107353,33581,13.36,1
2008,9,Dinajpur,DINAJPUR-4,25.804837,88.796196,MOHAJOTE,4P,118188,79133,39055,15.41,1
2008,10,Dinajpur,DINAJPUR-5,25.631622,88.944511,MOHAJOTE,4P,164419,126529,37890,12.89,1
2008,11,Dinajpur,DINAJPUR-6,25.463115,89.032402,AL,4P,133610,132752,858,0.25,10
2008,204,Naryanganj,NARAYANGANJ-1,23.84565,90.543623,MOHAJOTE,4P,143279,95673,47606,19.36,1
2008,205,Naryanganj,NARAYANGANJ-2,23.772778,90.656233,MOHAJOTE,4P,117435,78675,38760,19.51,1
2008,206,Naryanganj,NARAYANGANJ-3,23.725012,90.616407,MOHAJOTE,4P,192659,110062,82597,26.09,2
2008,207,Naryanganj,NARAYANGANJ-4,23.619362,90.480452,MOHAJOTE,4P,141075,138686,2389,0.82,0
2008,208,Naryanganj,NARAYANGANJ-5,23.608037,90.524397,MOHAJOTE,4P,174651,127149,47502,15.26,1
2008,211,Faridpur,FARIDPUR-1,23.407806,89.683943,MOHAJOTE,4P,175387,72285,103102,36.29,3
2008,212,Faridpur,FARIDPUR-2,23.410327,89.852858,MOHAJOTE,4P,116498,75726,40772,21.1,2
