year,constituencyNumber,district,constituency,latitude,longitude
2008,159,Netrokona,NETRAKONA-3,24.679466,90.829267
2008,160,Netrokona,NETRAKONA-4,24.730617,91.055861
2008,161,Netrokona,NETRAKONA-5,24.954935,90.594435
2008,162,Kishoreganj,KISHOREGANJ-1,24.437148,90.74687
2008,163,Kishoreganj,KISHOREGANJ-2,24.315814,90.761976
2008,164,Kishoreganj,KISHOREGANJ-3,24.517139,90.908918
2008,165,Kishoreganj,KISHOREGANJ-4,24.433397,91.088819
2008,166,Kishoreganj,KISHOREGANJ-5,24.323322,90.939131
2008,167,Kishoreganj,KISHOREGANJ-6,24.210647,90.944624
2008,168,Manikganj,MANIKGANJ-1,23.90216,89.856977
2008,169,Manikganj,MANIKGANJ-2,23.762723,89.990187
2008,170,Manikganj,MANIKGANJ-3,23.942331,90.002546
2008,171,Munshiganj,MUNSHIGANJ-1,23.590419,90.341749
2008,172,Munshiganj,MUNSHIGANJ-2,23.489698,90.406294
2008,173,Munshiganj,MUNSHIGANJ-3,23.516145,90.550489
2008,174,Dhaka,DHAKA-1,23.654588,90.157728
2008,175,Dhaka,DHAKA-2,23.731298,90.296431
2008,176,Dhaka,DHAKA-3,23.649556,90.420027
2008,177,Dhaka,DHAKA-4,23.682259,90.440626
2008,178,Dhaka,DHAKA-5,23.722497,90.466719
2008,179,Dhaka,DHAKA-6,23.737583,90.484571
2008,180,Dhaka,DHAKA-7,23.69232,90.378828
2008,181,Dhaka,DHAKA-8,23.713696,90.406294
2008,182,Dhaka,DHAKA-9,23.756439,90.446119
2008,183,Dhaka,DHAKA-10,23.826808,90.441999
2008,184,Dhaka,DHAKA-11,23.80545,90.406294
2008,185,Dhaka,DHAKA-12,23.735069,90.378828
2008,186,Dhaka,DHAKA-13,23.771521,90.378828
2008,187,Dhaka,DHAKA-14,23.838113,90.378828
2008,188,Dhaka,DHAKA-15,23.854323,90.388888
2008,189,Dhaka,DHAKA-16,23.870769,90.378828
2008,190,Dhaka,DHAKA-17,23.84565,90.406294
2008,191,Dhaka,DHAKA-18,23.880815,90.447493
2008,192,Dhaka,DHAKA-19,23.883326,90.273085
2008,193,Dhaka,DHAKA-20,23.953626,90.156355
2008,194,Gazipur,GAZIPUR-1,24.079067,90.284071
2008,195,Gazipur,GAZIPUR-2,23.993781,90.403547
2008,196,Gazipur,GAZIPUR-3,24.122942,90.435133
2008,197,Gazipur,GAZIPUR-4,24.181836,90.583448
2008,198,Gazipur,GAZIPUR-5,24.000054,90.547743
2008,199,Narsingdi,NARSINGDI-1,23.867001,90.713911
2008,200,Narsingdi,NARSINGDI-2,23.918481,90.660353
2008,201,Narsingdi,NARSINGDI-3,24.003817,90.766096
2008,202,Narsingdi,NARSINGDI-4,24.154272,90.75511
2008,203,Narsingdi,NARSINGDI-5,23.984998,90.878706
2008,204,Faridpur,NARAYANGANJ-1,23.84565,90.543623
2008,205,Faridpur,NARAYANGANJ-2,23.772778,90.656233
2008,206,Faridpur,NARAYANGANJ-3,23.725012,90.616407
2008,207,Faridpur,NARAYANGANJ-4,23.619362,90.480452
2008,208,Faridpur,NARAYANGANJ-5,23.608037,90.524397
2008,209,Rajbari,RAJBARI-1,23.711181,89.664717
2008,210,Rajbari,RAJBARI-2,23.748897,89.471083
2008,211,Faridpur,FARIDPUR-1,23.407806,89.683943
2008,212,Faridpur,FARIDPUR-2,23.410327,89.852858
2008,213,Faridpur,FARIDPUR-3,23.596711,89.859724
2008,214,Faridpur,FARIDPUR-4,23.506071,90.031385
2008,215,Gopalganj,GOPALGANJ-1,23.246393,89.869337
2008,216,Gopalganj,GOPALGANJ-2,23.093628,89.817152
2008,217,Gopalganj,GOPALGANJ-3,23.016548,90.005293
2008,218,Madaripur,MADARIPUR-1,23.330907,90.170088
2008,219,Madaripur,MADARIPUR-2,23.209796,90.124769
2008,220,Madaripur,MADARIPUR-3,23.104997,90.266218
2008,221,Shariatpur,SHARIATPUR-1,23.344778,90.297804
2008,222,Shariatpur,SHARIATPUR-2,23.228727,90.506544
2008,223,Shariatpur,SHARIATPUR-3,23.134046,90.443373
2008,224,Sunamganj,SUNAMGANJ-1,25.040816,91.120205
2008,225,Sunamganj,SUNAMGANJ-2,24.779254,91.320705
2008,226,Sunamganj,SUNAMGANJ-3,24.791722,91.554165
2008,227,Sunamganj,SUNAMGANJ-4,25.065697,91.394863
2008,228,Sunamganj,SUNAMGANJ-5,25.010951,91.600857
2008,229,Sylhet,SYLHET-1,24.893911,91.845303
2008,230,Sylhet,SYLHET-2,24.721885,91.850796
2008,231,Sylhet,SYLHET-3,24.766785,91.930447
2008,232,Sylhet,SYLHET-4,25.068185,91.902981
